日期,指数名称,成分券代码,成分券名称
2020-03-06,央企红利,600019,宝钢股份
2020-03-06,央企红利,600021,上海电力
2020-03-06,央企红利,600028,中国石化
2020-03-06,央企红利,600036,招商银行
2020-03-06,央企红利,600048,保利地产
2020-03-06,央企红利,600068,葛洲坝
2020-03-06,央企红利,600236,桂冠电力
2020-03-06,央企红利,600409,三友化工
2020-03-06,央企红利,600688,上海石化
2020-03-06,央企红利,600742,一汽富维
2020-03-06,央企红利,600808,马钢股份
2020-03-06,央企红利,600900,长江电力
2020-03-06,央企红利,601006,大秦铁路
2020-03-06,央企红利,601088,中国神华
2020-03-06,央企红利,601288,农业银行
2020-03-06,央企红利,601328,交通银行
2020-03-06,央企红利,601398,工商银行
2020-03-06,央企红利,601598,中国外运
2020-03-06,央企红利,601668,中国建筑
2020-03-06,央企红利,601818,光大银行
2020-03-06,央企红利,601939,建设银行
2020-03-06,央企红利,601988,中国银行
2020-03-06,央企红利,601998,中信银行
2020-03-06,央企红利,000069,华侨城Ａ
2020-03-06,央企红利,000778,新兴铸管
2020-03-06,央企红利,000898,鞍钢股份
2020-03-06,央企红利,001872,招商港口
2020-03-06,央企红利,001979,招商蛇口
2020-03-06,央企红利,002128,露天煤业
2020-03-06,央企红利,002419,天虹股份
