日期,指数名称,成分券代码,成分券名称
2020-03-06,中证下游,000963,华东医药
2020-03-06,中证下游,000997,新 大 陆
2020-03-06,中证下游,000998,隆平高科
2020-03-06,中证下游,000999,华润三九
2020-03-06,中证下游,001872,招商港口
2020-03-06,中证下游,002001,新和成
2020-03-06,中证下游,002007,华兰生物
2020-03-06,中证下游,002024,苏宁易购
2020-03-06,中证下游,002027,分众传媒
2020-03-06,中证下游,002032,苏泊尔
2020-03-06,中证下游,002038,双鹭药业
2020-03-06,中证下游,002044,美年健康
2020-03-06,中证下游,002065,东华软件
2020-03-06,中证下游,002120,韵达股份
2020-03-06,中证下游,002127,南极电商
2020-03-06,中证下游,002153,石基信息
2020-03-06,中证下游,002174,游族网络
2020-03-06,中证下游,002191,劲嘉股份
2020-03-06,中证下游,002195,二三四五
2020-03-06,中证下游,002223,鱼跃医疗
2020-03-06,中证下游,002230,科大讯飞
2020-03-06,中证下游,002242,九阳股份
2020-03-06,中证下游,002252,上海莱士
2020-03-06,中证下游,002268,卫士通
2020-03-06,中证下游,002294,信立泰
2020-03-06,中证下游,002304,洋河股份
2020-03-06,中证下游,002311,海大集团
2020-03-06,中证下游,002352,顺丰控股
2020-03-06,中证下游,002373,千方科技
2020-03-06,中证下游,002385,大北农
2020-03-06,中证下游,002399,海普瑞
2020-03-06,中证下游,002410,广联达
2020-03-06,中证下游,002411,延安必康
2020-03-06,中证下游,002422,科伦药业
2020-03-06,中证下游,002439,启明星辰
2020-03-06,中证下游,002468,申通快递
2020-03-06,中证下游,002507,涪陵榨菜
2020-03-06,中证下游,002508,老板电器
2020-03-06,中证下游,002555,三七互娱
2020-03-06,中证下游,002558,巨人网络
2020-03-06,中证下游,002572,索菲亚
2020-03-06,中证下游,002594,比亚迪
2020-03-06,中证下游,002607,中公教育
2020-03-06,中证下游,002624,完美世界
2020-03-06,中证下游,002640,跨境通
2020-03-06,中证下游,002653,海思科
2020-03-06,中证下游,002714,牧原股份
2020-03-06,中证下游,002739,万达电影
2020-03-06,中证下游,002773,康弘药业
2020-03-06,中证下游,002821,凯莱英
2020-03-06,中证下游,002867,周大生
2020-03-06,中证下游,002925,盈趣科技
2020-03-06,中证下游,300003,乐普医疗
2020-03-06,中证下游,300009,安科生物
2020-03-06,中证下游,300012,华测检测
2020-03-06,中证下游,300015,爱尔眼科
2020-03-06,中证下游,300017,网宿科技
2020-03-06,中证下游,300033,同花顺
2020-03-06,中证下游,300122,智飞生物
2020-03-06,中证下游,300142,沃森生物
2020-03-06,中证下游,300144,宋城演艺
2020-03-06,中证下游,300251,光线传媒
2020-03-06,中证下游,300253,卫宁健康
2020-03-06,中证下游,300347,泰格医药
2020-03-06,中证下游,300383,光环新网
2020-03-06,中证下游,300413,芒果超媒
2020-03-06,中证下游,300418,昆仑万维
2020-03-06,中证下游,300498,温氏股份
2020-03-06,中证下游,300529,健帆生物
